"Time","0Interest","1Cliche","2Dumb","3Wtf","4Funny"
"0","22","0","0","0","0"
"2","22","0","0","0","0"
"4","22","0","0","0","0"
"6","22","0","0","0","0"
"8","22","0","0","0","0"
"10","22","0","0","0","0"
"12","22","0","0","0","0"
"14","22","0","0","0","0"
"16","22","0","0","0","0"
"18","22","0","0","0","0"
"20","22","0","0","0","0"
"22","22","0","0","0","0"
"24","22","0","0","0","0"
"26","22","0","0","0","0"
"28","22","0","0","0","0"
"30","22","0","0","0","0"
"32","22","0","0","0","0"
"34","22","0","0","0","0"
"36","22","0","0","0","0"
"38","22","0","0","0","0"
"40","22","0","0","0","0"
"42","22","0","0","0","0"
"44","22","0","0","0","0"
"46","22","0","0","0","0"
"48","32","0","0","0","0"
"50","32","0","0","0","0"
"52","32","0","0","0","0"
"54","32","0","0","0","0"
"56","32","0","0","0","0"
"58","32","0","0","0","0"
"60","32","0","0","0","0"
"62","32","0","0","0","0"
"64","32","0","0","0","0"
"66","32","0","0","0","0"
"68","32","0","0","0","0"
"70","32","0","0","0","0"
"72","32","0","0","0","0"
"74","32","0","0","0","0"
"76","32","0","0","0","0"
"78","32","0","0","0","0"
"80","32","0","0","0","0"
"82","32","0","0","0","0"
"84","32","0","0","0","0"
"86","32","0","0","0","0"
"88","44","0","0","0","0"
"90","44","0","0","0","0"
"92","50","0","0","0","0"
"94","50","0","0","0","0"
"96","50","0","0","0","0"
"98","50","0","0","0","0"
"100","50","0","0","0","0"
"102","50","0","0","0","0"
"104","50","0","0","0","0"
"106","50","0","0","0","0"
"108","50","0","0","0","0"
"110","50","0","0","0","0"
"112","50","0","0","0","0"
"114","50","0","0","0","0"
"116","50","0","0","0","0"
"118","50","0","0","0","0"
"120","50","0","0","0","0"
"122","50","0","0","0","0"
"124","50","0","0","0","0"
"126","50","0","0","0","0"
"128","50","0","0","0","0"
"130","50","0","0","10","0"
"132","50","0","0","10","0"
"134","50","0","0","10","0"
"136","50","0","0","18","0"
"138","50","0","0","26","0"
"140","50","0","0","26","0"
"142","50","0","0","26","0"
"144","50","0","0","26","0"
"146","50","0","0","26","0"
"148","50","0","0","26","0"
"150","50","0","0","26","0"
"152","50","0","0","26","0"
"154","50","0","0","26","0"
"156","50","0","0","26","0"
"158","50","0","0","0","0"
"160","50","0","0","0","0"
"162","50","0","0","0","0"
"164","50","0","0","0","0"
"166","50","0","0","0","0"
"168","50","0","0","0","0"
"170","50","0","0","0","0"
"172","50","0","0","0","0"
"174","50","0","0","0","0"
"176","50","0","0","0","0"
"178","50","0","0","0","0"
"180","50","0","0","0","0"
"182","50","0","0","0","0"
"184","50","0","0","0","0"
"186","50","0","0","0","0"
"188","50","0","0","0","0"
"190","50","0","0","0","0"
"192","50","0","0","0","0"
"194","50","0","0","0","0"
"196","50","0","0","0","0"
"198","50","0","0","0","0"
"200","50","0","0","0","0"
"202","50","0","0","0","0"
"204","56","0","0","0","0"
"206","58","0","0","0","0"
"208","62","0","0","0","0"
"210","62","0","0","0","0"
"212","62","0","0","0","0"
"214","62","0","0","0","0"
"216","62","0","0","0","0"
"218","62","0","0","0","0"
"220","62","0","0","0","0"
"222","62","0","0","0","0"
"224","62","0","0","0","0"
"226","62","0","0","0","0"
"228","62","0","0","0","0"
"230","62","0","0","0","0"
"232","62","0","0","0","0"
"234","62","0","0","0","0"
"236","62","0","0","0","0"
"238","62","0","0","0","0"
"240","62","0","0","0","0"
"242","62","0","0","0","0"
"244","62","0","0","0","0"
"246","62","0","0","0","0"
"248","62","0","0","0","0"
"250","62","0","0","0","0"
"252","62","0","0","0","0"
"254","62","0","0","0","0"
"256","62","0","0","0","0"
"258","62","0","0","0","0"
